description,claimType
I have lost my diamond engagement ring,LOSSSPECIFIED
Water leak from stop tap until the gauge. Confirmed as a property leak by Severn Trent,ESCAPEWATER
Bathroom leak through to living room ceiling,ESCAPEWATER
Am concerned house has subsidence.. ,SUBSIDENCE
A problem occurred from The overflow from an upstairs toilet,ESCAPEWATER
water leaking from central heating pipe under the hallway,ESCAPEWATER
"Hi, one of our triple glazed panes of glass has been broken with integral  electric blinds in our bi fold doors. It happened whilst cutting the grass. Can you please advice what I should do next. I have the name of the manufacturer that supplied the units here in the U.K..! Thank you Kevin",ADBUILDINGS
my wife lost her diamond engagement ring,LOSSSPECIFIED
My boiler has stopped working. The hot water is not coming on ,BOILER
I have drilled through a water pipe in the wall and it is leaking quite badly ,ESCAPEWATER
burst pipe and damage to wooden floor,ESCAPEWATER
The wall hung toilet cistern which is inside a tiled wall has started leaking it is a small leak and Has been for leaking for some time before it showed itself on the roof of the bottom bathroom ,ESCAPEWATER
We had a back up of sewage and waste water under the man hole cover outside the back door. I called Welsh Water who cleared the blockage free of charge as the main block wasn't on my property. The workman put a camera from the street through my drain to see if there was any more blockage further up which there wasn't. He did however see that there was a hole in the pipe that he believes runs under our kitchen floor. We believe this will need mending. I have no photos because the damage is underground,BLOCKEDDRAINS
"our shed caught fire and damaged gardening equipment, swing chairs, outside lights, PVC back door and window external cables, gutter, fascias and gable wall.",FIRE
"a torrential rainstorm caused a failure of the floor in the kitchen, allowing floodwater to force itself up through a crack caused by water pressure from below",STORM
Tried to switch my tv on and it won’t show screen,OTHER
Water leaking from radiator upstairs,ESCAPEWATER
Roof set on fire. Fire brigade put out fire but there is significant damage to the roof and interior,FIRE
Two bikes stolen from locked van.,THEFTSPECIFIED
"I attended a mandatory work physical course whereby I have to take off my wedding ring/necklace to participate.  I put the items in my bag and I’ve clearly dropped them accidentally at some point. I took my bag to lunch at the venue, breaks and it was always in my sight so it was not stolen. It was my entire stupidity and I’m devastated as they were both wedding items. Hard lesson learnt. ",LOSSSPECIFIED
Travelling from Leeds via train my case was stolen ,THEFTSPECIFIED
Our bathroom has a leak or leaks. Water has leaked through the ceiling below. We believe it is coming from the walk in shower. The ceiling below was bulging  which caused a hole. We have tried to prevent further damage by removing a few tiles to look for the leak but have been unable to locate it ourselves. We will need a professional to deal with it. ,ESCAPEWATER
"Leak detection company called. Leak found under downstairs toilet tiles from rad,accessed thru next door room where stud wall was damp. Repairs now need to be carried out to toilet wall and room next door hole in wall from access. Detailed report coming from company after bank hol. Paid £819 today for tracing services and repair to pipe. ",ESCAPEWATER
The ceiling looks to have dropped,OTHER
subsidence damage to boundary wall,SUBSIDENCE
an outbuilding was broken into,BURGLARY
iphone 11 was lost or stolen yesterday,LOSSSPECIFIED
Smashed my Google pixel phone screen,ADCONTENTS
Swan Fridge Freezer Retro  compressor failed. All food in both compartments spoiled. serial reference SR11025BN1911040017,FREEZER
Stone Island jacket was either stolen or lost when visiting Disneyland Paris. It was last in my possession on my child's pushchair when I noticed it had gone missing.,THEFTSPECIFIED
I have pipe leak under my sitting room room and dry rot everywhere. I have only brought this house year and half ago.,ESCAPEWATER
"Bathroom leak, caused a wet spot on a lower floor ceiling",ESCAPEWATER
"Shower cubicle is blocked, causing bath to flood. Have young children at address",ESCAPEWATER
I was hoovering and accidentally walked backwards into a free standing heater which fell onto the TV bench. We didn’t realise the TV screen was damaged until later that evening when we sat down to watch TV (damaged item Sony KD - 43X8309V). Unfortunately I can’t locate the receipt. ,ADCONTENTS
kitchen leaking water and despite turning the tap tight it is still leaking,ESCAPEWATER
"We have a leak from the top floor, with the water leaking to the first and ground floor. I selected the best category below I could find whilst we are investigating the cause of the leak. ",ESCAPEWATER
"Ceiling leaking rain water in 3rd bedroom down the cabinet and onto carpet. Suspected damage/gaps is the roof or external brick pointing. This could have been caused by the fire next door that I flagged with you a couple of months ago, as we’ve never had this issue before ",OTHER
I came home and found the upstairs bathroom radiator has broken and flooded the downstairs. ,ESCAPEWATER
Unfortunately the macbook falls down from Table on the corner of chair and on the floor. The screen is black.,ADCONTENTS
"Water is coming up beneath the floor, floor is concrete based, unable to determine where it is coming from",OTHER
"The stop tap underneath my kitchen sink had a leak, this seemed to have been leaking for a while. This caused a large puddle underneath the sink unit  and my kitchen cupboards have become damanged and kitchen kicked board fallen apart due to the water. ",ESCAPEWATER
I caught the charging cable in the lid of my laptop and it has broken the screen,ADCONTENTS
my front door lock broke and my house was insecure,LOSTKEY
Chimney and ridge tile damage and water coming into the property and causing penetrating damp,STORM
leak from the bath pipes causing cracking in the ceiling and leaking from under the bath ,ESCAPEWATER
There was a break in the toilet flush. the flush is continuing to run water and there is a leak. ,ESCAPEWATER
Son dropped ps5 and now wont turn on ,ADSPECIFIED
Mobile phone was dropped and screen was smashed,ADCONTENTS
"Glass bottle of orange juice has broken, spilled over MacBook, which no longer works.  Taken to Apple Store who inspected and have given quote for repair.",ADSPECIFIED
accidental damage by my son. He knocked over a glass of juice over the my Apple MacBook Pro laptop and not it does not switch on. ,ADSPECIFIED
"One of the  dials controlling the gas flow to one of the hobs of my counter-top gas hob has somehow broken, so that turning the dial has no effect on the gas flow. This happened when the hob was in use, and so the gas flow to that hob is now stuck on, and cannot be turned off from the hob. I have turned off the gas shut off valve to the property, which has stopped any kind of gas flow to the hob or any other gas appliance in my property, but has left me without the ability to use my heating/hot water system",OTHER
Boiler will not relight after power outage which occurred whilst we were on holiday,BOILER
The outside of my building requires rendering and now when it is raining my walls are wet and my windows are soaked. I’ve had all my gutters cleared and my roof is tighproof. ,STORM
"our Hot Water/Central Heating Boiler is Showing error 37 which indicates a Electrical supply voltage low. We switched off and on again, temperature says 94 degrees!, then the error message comes up again - 3 Times. We have switched off the boiler. boiler",BOILER
Door closed behind with keys still in lock. Unable to access property,OTHER
Yorkshire Water identified a leaking pipe under the floor of our house in the concrete sun floor. This has now been sealed and the pipe rerouted above floor level. Initially there appeared to be no internal damage however have now noticed a damp smell in our lounge behind a settee. Lifting the carpet in this area has revealed water damage along the entire length of an internal wall. Areas of plaster are ‘blown’ the carpet and underlay are wet and damaged and the concrete floor damp. ,ESCAPEWATER
My watch is lost. I last wore my watch on the 13th may. I only noticed you at the weekend (3/6/22) that it was lost when I went to put in on to go out. It is a dress watch I only wear on special occasions. I have attached photos with it on my wrist in recent months. I have also logged a police report (ref: Renfrewshire/143742/am/20220608)and phoned the restaurant I attended on the evening of the 13th may.,LOSSSPECIFIED
my phone screen has cracked/defected,ADCONTENTS
We were shifting a heavy chest of drawers in the spare bedroom when I stumbled and dropped my end onto the floor it hit the floor with quite a force we then went shopping and on returning home found a section of the ceiling in the lounge which is below the spare bedroom had fallen down on to the floor and furnishings causing a huge mess the ceiling is lathe and plaster construction ,ADBUILDINGS
a leaking internal water pipe has caused damage to the hall stairs area.  it needed a plumber call out he hacked into the wall and replaced the pipe.  it now needs a wall repair and significant re decorating,ESCAPEWATER
Expensive Frette sheets (worth £417) got accidentally destroyed by rusty/oily water from washing machine,ADCONTENTS
water leak which has caused kitchen ceiling damage,ESCAPEWATER
The ceiling below my bathroom has come through. ,ESCAPEWATER
Drain collapsed and blocked I have Homeserve Insurance who are prepared to pay for the repair to the drains but they will not pay for any damage caused to the floor as part of the drain runs under the conservatory and will have to be dug up. They have suggested  i contact you to find out if i am covered.,BLOCKEDDRAINS
front house window smashed in act of vandalism,VANDALISM
"I have lost my gold chain whilst being in Harold Wood park in the afternoon of the 29th of May 2022. I am not sure whether it was lost or stolen from my neck. I have retraced my steps and cannot find it in the park or where I've walked to my home. Unfortunately, I have lost the receipt for the chain, but it cost a lot of money and holds sentimental value. I have asked the jewelers where I've brought the item for a new receipt",LOSSSPECIFIED
No hot water no heating. Engineer has advice complete new boiler ,BOILER
Intruders climbed neighbours scaffolding into locked secure back garden and stole my Halfords e-bike which is listed as a single item on my insurance. ,THEFTSPECIFIED
I noticed the lawn to one side of the house is waterlogged over a large area and I suspect a leak from the mains water supply pipe to/under the house. There are no internal leaks detectable. With no taps running I turned the boundary supply stop cock off and felt the flow of water stop providing further evidence it is likely a leak in the supply pipe. The only photo I have included is a puddle in a plant border downslope of the house. There is nothing really to photograph,ESCAPEWATER
The waste drain in a outbuilding is blocked and seems to be part of our house waste plumbing. ,BLOCKEDDRAINS
Blocked / overflowing kitchen drain (external),BLOCKEDDRAINS
"we were burgled overnight, car and bike and other items stolen",BURGLARY
"A leak from the guest room toilet, which has backed up in the bathroom and gone through a wall and the floor of our main bedroom, which has resulted in the carpet smelling and soaked - we have tried to dry this out in the last few days but not drying and smells very bad.",OTHER
"A water pipe has been drilled through causing water damage to the walls, ceiling and carpets ",ADBUILDINGS
Stop tap failed into house causing leakage of water damage to kitchen tiles which are now lifting and come loose along with laminate in hallway ,ESCAPEWATER
"On Monday 23rd of May 2022,  I discovered water running through the ceiling of the lounge in the property. I  turned off the main water supply. I  then instructed a plumber to investigate the leak and they found the cause to be a fault on the pipework to the master bedroom shower. The damaged caused by the leak Is isolated mainly to the lounge and sitting room ceiling, walls, flooring and skirtiboards. There is a small amount of damage within the Master Bedroom wall also but isolated to the decorations. I have reported the matter to legal protection group as per details on the insurance forms  who sent me claim form which i completed on 31st May and sent to them by recorded delivery, despite email and telephone calls, i was notified today that i need to contact you directly regarding this claim form. PLease note i have photos but i am unable to forward them, do you have an email address i can send them to as i am unable to upload",ESCAPEWATER
"the basement door mechanism broke down, handle spinning around, struggles with locking the door up.",OTHER
"My wife Susannah Leonard, noted around 5pm upon her return from a trip to Havant with our dog for a vet eye consultation that her engagement ring was missing one of the five set stones. The ring was not caught and she was unaware of the stone missing until later in the day. ",LOSSSPECIFIED
A car has crashed into my boundary wall and knocked it over,IMPACT
Our garage was broken into and four bikes were stolen,BURGLARY
we were having one of the unused chimneys called to prevent any future rainwater ingress and found a honey bee infestation.,OTHER
"Burst Pipe underneath concrete/tiled floor in downstairs toilet room.  I have disconnected and removed the toilet but can still hear the water running in the spot just before the pipe to the toilet.  The house stopcock is not turning off the water.  I think it is the pipe supplying water to the toilet, but that is under the tiles/concrete floor so cannot be sure without taking up the floor in the suspected area.  The floor appears damp and the bricks outside immediately where I think the leak is are damp and one has started to spald.",ESCAPEWATER
Rachael's engagement ring and wedding band were lost on a walk at Alice Holt forest,LOSSSPECIFIED
Hi I have emergency cover and one of my fuses keeps tripping in the fuse box. I have tried unplugging everything but the fuse still keeps tripping.,WIRINGFAULT
I have noted a new crack on the front wall of my property to the left of my bedroom window. This is close to where previous subsidence works were carried out in 2017. Previous works were carried out by shire services and we're completed and a letter of structural soundness supplied to myself. ,SUBSIDENCE
"I attended an event at Ditton Manor on Sunday 12th June 2022. I arrived at the event wearing my watch and realised it was not on my wrist the following morning, Monday 13th at which point i immediately alerted the police to the fact my watch was gone.   The item was a gift from my parents for my 30th birthday and I’ve had the watch for over 5 years now. In those 5 years i have never had an issue with the security of the watch bracelet and i know it wouldn't have just fallen off or unfastened so although I am not aware of a physical point the watch was taken, the watch is gone. It was an extremely busy event with crowds all within very close proximity of one another and resulted in police attending towards the end of the night due to crowd control.  Police reference number LP103/22 handled physically in person by officer C8708 on 13th June 2022.  Slough Police Station, Windsor Road, Slough, Berkshire, SL1 2HH. Serial number, make and model has all been passed to the police as well.   I am at your disposal  should you require any further information from myself. ",THEFTSPECIFIED
I was wearing my watch  then when got home I realised  it wasn’t on my wrist ,OTHER
Hi there I have a problem with the roof when is raining the water comes in to the room above the window it happen when the heavy storm was ,STORM
Door lock is jammed. Unable to get in and out of the house. Need emergency cover to come out to fix the lock.,OTHER
"A power surge across an extension cable has cause 3 items to stop functioning. These items are: Apple MacBook Pro (Serial C02GX0JHDV13), 13"" Apple MacBook Pro (Serial FVFX13E8HV22), and Custom Built Desktop Gaming PC.",ADSPECIFIED
Leaking pipe from a bathroom into a living room,ESCAPEWATER
I fell on my iphone in the house and it has warped the screen and damaged under the glass screen,ADCONTENTS
"Vehicle damage to porch, cracked brick and plasterboard  pushed away from wall",IMPACT
burglar broke into house and stole power tools upto the value of £800,BURGLARY
theft of my camera on the train,THEFTSPECIFIED
theft of a watch from my wrist whilst on holiday in Miami,THEFTSPECIFIED
"Leaking pipes that supply ensuite bathroom, and isolation valve will not close",ESCAPEWATER
Escape of water from first floor down to ground floor lobby,ESCAPEWATER
water pipe leakage from backyard of the property,BLOCKEDDRAINS
Laminate flooring has blown and is damaged and is dangerous to walk on and dangerous for kids to walk  it was caused by leak in kitchen tap and with the plumbing behind cupboard under sink also don't know what damage has been done under laminate flooring  ,ESCAPEWATER
water coming through ceiling in utility room causing ceiling to collapse,ESCAPEWATER
Glass shower screen fell down and smashed. Resulting in smashed wall tiles and sink unit. ,ADCONTENTS
An internal pipe has burst and we have had water damage all over the ground floor of the property,ESCAPEWATER
theft of items (husband's tool bag) from boot of car parked in front of the house,THEFTSPECIFIED
Upstairs sink burst pipe and flooded bathroom and through light fittings into kitchen,ESCAPEWATER
When the boiler started up yesterday it made a boom sound and the pressure gage was right up to 5.  It normally sits on 3 - Powered it down straight away,BOILER
"A diamond has fallen out of my 5 stone diamond ring.  I was at the rugby and noticed on my return home. I normally take all my jewellery repairs to James Stephens Jewellers in Crawley as I trust them, will this be possible please?",ADSPECIFIED
"At approx 9.30pm I took a bath, got out around 11pm, popped a towel on and opened the plug to drain bath, went to get pjs on etc and then went downstairs to find the bath had drained through the utility ceiling and there was a significant amount of water all over the floor",ESCAPEWATER
Apple iPad screen accidentally damaged,ADSPECIFIED
Glass breakage on patio sliding door.,OTHER
My apple watch has the front screen damage,ADSPECIFIED
wind blew off gutter and fascia,STORM
"Damage to bedroom carpet and side of bed from a cup of coffee,tried to clean it but hasn't worked. ",OTHER
i have lost my AirPods Pro i dont know were somewere in city centre,LOSSSPECIFIED
"2 LG monitors fell off my desk while re-arranging due to an unexpected bump. Both monitors were working perfectly beforehand. There doesn't appear to be any physical damage, however neither monitor will turn on, and my computer no longer detects either of them.",ADCONTENTS
Pipe causing flooding of utility room,BURSTPIPE
Mountain bike has been stolen. The lock was cut and the bike taken.,THEFTSPECIFIED
Someone has broken into my Garden and stolen all the furniture from it in the early hours of the morning ,BURGLARY
"secondary escape of water, evolution claims management are aware and have the details inc photos",ESCAPEWATER
"Apple Macbook Pro was on sofa at home and has been unintentionally sat on, this has damaged the screen to the point where the laptop doesn't turn on.",ADSPECIFIED
No hot water coming through when run Kitchen bathroom and shower taps in whole house ,BOILER
knocked the paint tub off the step and my dog walked all in it. Tried to clean up splashes of paint off furniture but unable to come clean ,ADCONTENTS
the downstairs toilet keep flushing the water through,ESCAPEWATER
Leak in bathroom coming in to kitchen ,ESCAPEWATER
"Key broken off in lock of bifold doors, now we can not lock door",OTHER
Blocked pipe in the bathroom sink has back up and the water overflowed onto the floor and through to the downstairs which has gone through the spot lights in the ceiling and onto the couch and TV below. ,BLOCKEDDRAINS
While I was out the bottom panel of the back door has been smashed off and my entire house has been turned upside down and items stolen ,BURGLARY
I am currently locked out of my house and need help. Both the Yale lock and lock integrated in the door are locked. I have used your online chat facility and your operator has confirmed I have cover to support me in this. ,OTHER
Son dropped samsung s20 in his bedroom ,ADSPECIFIED
Someone has thrown a brick through my window to get in my house,BURGLARY
I was trying to close the front door which hit against the pram positioned next to the front door. The door did not close so I moved the pram and closed and locked the door. When I returned home I saw that the glass of the door had shattered.,ADBUILDINGS
"My porch window has been shattered.  It is a double glazed unit and the outer pane is shattered.  I am in the USA at the moment, my neighbour looking after my house reported it yesterday.  He does not know how it happened but chidren do play on the green outside and it is posdible a ball was kicked against it.  I have put vandalism but could just be an accident.",VANDALISM
"I noticed a large crack in the garage wall at the back, and subsequently found a gap of around 3cm between the garage foundations and the brickwork running for approx 1m",SUBSIDENCE
"I accidentally closed the door on my iPhone 12, snapping the case in almost two and smashing the screen",ADCONTENTS
"Water leakage damaging ceilings, walls and floorboards",ESCAPEWATER
"I was in London as my son was in hospital having a heart operation. My partner and I were staying in accommodation provided by The Sick Children's Trust. On the morning on Sunday 19th June at around 07:50 my partner was standing outside the accommodation looking at his phone and a man on a bike rode past and snatched his phone out of his hand and rode off. My partner tried to chase after him but the assailant was too quick. We logged this with the police, crime reference 2317154/22. The Sick Children's Trust has cctv footage of the crime, but unfortunately it did not capture his face and so the police were not able to take the investigation any further. My partners phone is an iPhone 13 Pro. ",THEFTSPECIFIED
a leak in the ceiling causing the kitchen ceiling to collapse,ADBUILDINGS
Damage to front of TV screen resulting in being unable to view the device (with 4 HDMI ports),ADCONTENTS
Whilst we were out of the house our dogs managed to open the gate at the bottom of the stairs. They then went on to damage/rip the carpet at the top of the stairs/landing. ,OTHER
water egreess outside tap... water poring out,ESCAPEWATER
"I was deadlifting in the gym and it dropped on my phone, phone is completely smashed won't turn on ",ADSPECIFIED
Neighbours builders have managed to knock my shelving off the wall ,ADCONTENTS
Grandson smashed screen on tv ,ADCONTENTS
"noted water damage to the landing ceiling, investigation showed was caused by an escape of water from the water tank in the attic above ",ESCAPEWATER
my iphone 12 which i use for work accidentally fell from my person whilst disembarking the ship on the gangway ,LOSSSPECIFIED
I have had a company in to quote for a bathroom refurb when carrying out the quotation he noticed my floor was uneven and than Carried out further check where he believed I have go movement at the back of the property or subsidence.,SUBSIDENCE
There was a gale force wind which ripped off the cast iron spouting at the front of the house and some at the back,STORM
"Boiler stopped working, not sure why",BOILER
I was wearing my palladium sapphire and diamond engagement ring and I knocked it against the wall in our porch. I heard the stone drop and noticed that one of the claws has shared damaging the integrity of the ring. The stone is now loose but I have all components. The ring needs to be repaired before I can wear it again. ,ADSPECIFIED
Drains backed up - caused by tree root ingression ,OTHER
TV was accidentally knocked over and damaged,ADCONTENTS
I opened my laptop and my screen was broken/cracked.,ADSPECIFIED
"Small leak in ceiling causing damage to ceiling plasterboard - presumably from heating pipe in the ceiling, noticed on return from having been away",ESCAPEWATER
"We have lost a diamond bangle. My wife is unsure when the bangle came off her wrist however we checked kid throughout our house, spoken to the shop we went to during the day, and gone back along the route where she walked our dog. We also asked neighbours who walk their dogs on similar routes to have a look for us.",LOSSSPECIFIED
My attic room ceiling has water coming through it. It started yesterday and when it rain a lot it comes through more. I can't see any damage from outside It must be from the roof felt or tiles.,STORM
"We had a new shower fitted on the 30/06/22, today at approximately 18:00 we noticed water leaking through the ceiling of the kitchen. the kitchen cupboard has fallen off the wall and damaged the floor and dishwasher. I have had to turn the mains water off and the electricity to parts of the kitchen. I have a 9 month old daughter in the house.",ESCAPEWATER
iPhone stolen in London on Friday night,THEFTSPECIFIED
Mobility scooter generator & mobile phone have been accidentally lost,LOSSSPECIFIED
Leaking underground supply pipe and leaking metered water,ADBUILDINGS
Theft steal from person of 2 specified items. Rolex watch (Serial   4J08K211) and Cartier Love ring. It will only allow me to list one of the items on the details of loss. Crime Reference Number CR/058414/22 (Devon and Cornwall Police). Thank you,THEFTSPECIFIED
"Item dropped from cupboard and fell on phone causing cracks in pixels, screen is not cracked but pixels underneath screen is meaning the screen can not be repaired.",ADSPECIFIED
I was charging my phone and left it on the table. I accidentally spill a glass of soda all over it and it gone off. I bought it to a repair shop and see if it could be fixed. But the staff reported that it can't be fixed,ADCONTENTS
3 wasp nests in the eaves of the property - need a home emergency claim,OTHER
lost a tanzanite/diamond ring ,LOSSSPECIFIED
Water mark has appeared on the downs stairs living ceiling. The water mark is still getting bigger,ESCAPEWATER
I woke up to this which had appeared suddenly on my living room celling ,ESCAPEWATER
I dropped my laptop and it has a dent in the casing,ADSPECIFIED
while mowing the field a stone flew up and smashed the window,ADBUILDINGS
Lock smith needed for access to outbuilding,LOSTKEY
"Oil leak into garden and pond that has an outlet into a neighbouring property. Roughly 1000 litres of oil. I have already called a company to mitigate the issue who have deployed absorbents, spill kits, and protection to the pond. The company is IDEAL RESPONSE. ",ESCAPEOIL
Water mains leak in front garden causing saturation of lawn and now leaking across pavement and into road.,ESCAPEWATER
I have discovered a leak in my airing cupboard. There is water drupping through the ceiling and it must be coming from the water tank in the loft?,ESCAPEWATER
"Water leak outside my front door, on my property. Bristol Water has issued a notice requiring repair within 21 days",ESCAPEWATER
"Hi Wigan Police Station could you please call me on 07305785937 we had a break in and a fire at the above address  I have returned from holiday and not been able to gain access security padlocks have been fitted can I collect the keys from the station, The damage was done on the 11th June. Regards David Fairhurst burglary  - vandalism - fire",BURGLARY
I have lost my korloff watch whilst In The flat,LOSSSPECIFIED
Water damage to the end of my park home,STORM
I noticed that there was water on the kitchen floor coming from the ceiling above. There is an on suite bathroom above so I called a local plumber to come out he smashed a tile and turn the water off and told me not to use the shower.,ESCAPEWATER
"My husband and I were both out and I came home to find we had been burgled. My husband’s watch box has been taken, as well as his cuff link box, a trinket box of mine and two bottles of whiskey. We are still working out exactly what is missing but the police came yesterday and started their investigations. ",BURGLARY
"There is a leak somewhere in my roof, it is now effecting  my loft and one of my bedrooms. I have had my roof looked over by roofers but they cannot see any damage.",STORM
My son accidentally hit the TV with a toy and cracked the screen. ,ADCONTENTS
"Fridge freezer broke down, and I lost the contents ",FREEZER
"there was a break in to the outside garage where a Merida Crossway 300 bicycle, a Merida Big99 full suspension MTB, an electric scooter, a sewing machine, fabric, a digital radio, and chargers were stolen.",BURGLARY
I have noticed the wooden floor swelling and bubbling and also starting to squeak all over the place. I got a local building company Quinn contracts to come and investigate the issue who in turn appointed a leak detector company who have found that the underfloor heating pipes have burst causing substantial damage. They have advised me to appoint a loss accessor to access the damage due to the amount of damage that has been caused.,ESCAPEWATER
"I suspect we have a leak in our bathroom as we noticed damp coming up the walls in the rooms next to the bathroom. I removed the bath panel to see under the bath as there is no tiles under the bath, and the concrete feels wet. As you can see from the photos the bathroom walls and floor is fully tiled. And the photos of the walls with damp surround the bathroom. The hallway, utility room and a bedroom. ",ESCAPEWATER
Fire central heating boiler leaking water,ESCAPEWATER
"My son wanted to play with the iPad which has not had any battery in a while due to not needing to be used. When he couldn’t use it he left it on the sofa, as he got off the sofa the iPad fell onto the hard floor (vinyl) and when I picked it up realised a large crack right across the screen. ",ADSPECIFIED
"I put the hot water tap on in the sink to disinfect some dishbrushes. Then I had to leave the house in an emergency , thinking I had knocked the tap off, I was out of the house around 45 minutes. On return the kitchen floor had flooded, and the water was flowing across the worktop and as a result the laminate flooring has started to expand, and the cupboard doors have expanded also. I took action to avoid this by mopping & hoovering up the  water using a wet hoover and then using a dehumidifier to draw any excess water out.  The kitchen wall cupboards have also began to bubble from the bottom which I’m guessing will be from the steam that was circulating the rooms. At the time I was very upset about what I had done as I have only had the kitchen 2 years and was to busy trying to clean up the water so I didn’t think of taking photos of it actually being flooded but I have photos to prove the damage to the cupboards and can provide further if needed. The damage will probably progress over time as steam from cooking will enter into the already delaminated cupboards and as the water continues to dry out. I have tried to take the photos best as possible but the finish on the cupboard makes it difficult to capture.",ADBUILDINGS
"Burst water pipe ground floor sink , ground floor flooded all flooring including oak floor damaged beyond repair including skirting boards and kitchen cabinets ",BURSTPIPE
"Pipe connection in my bathroom burst in the night, the water came down through my lounge ceiling. The pipe is fixed but the leak has damaged my lounge ceiling",ESCAPEWATER
lost diamond bracelet on walk to sainsburys ,LOSSSPECIFIED
"water was leaking out of a pipe, causing damage to the ceiling. ",ESCAPEWATER
Spare bedroom window cracked. No idea why just a large crack appeared yesterday ,ADBUILDINGS
my Capel C901i cooker hob was cracked,ADBUILDINGS
Thames Water believes there is a leak from the supply pipe,ESCAPEWATER
water escape/leak from metered water pipe,ESCAPEWATER
There a leak under the floor in the utility room and it has travelled to the kitchen and hall causing the floors in those rooms to start to lift with possible floor subsidence   also. Excess moisture in the house and plaster coming off the walls.,ESCAPEWATER
DIGITAL HEARING AID LOST AND NOT FOUND AFETR EXTENSIVE SEARCHING,LOSSSPECIFIED
I accidentally dropped one of my crystal singing bowls into the box containing some of the others. This caused the one which was dropped to smash and in the process breaking the set that was in the box.,ADCONTENTS
"We have travelled to turkey Antalya airport from Gatwick . My mrs case has not arrived with us which contained her Rolex . To be clear , this still could turn up but we have been making calls and filling out forms and nobody seems to care or be non the wiser as to where our case is . ",LOSSSPECIFIED
"water escaped from pipes, tanks or appliances causing damage",ESCAPEWATER
"Boiler kept loosing pressure resulting in no hot water or heating, got plumber to check boiler and there is a hole in side of it. ",BOILER
Water stop tap has started leaking,ESCAPEWATER
"Key in porch door (upvc) is not locking the door. Tried different keys,hooks align into frame,but will not lock the door",OTHER
"leak under the stairs main water inlet ,flood plus damage",ESCAPEWATER
Suspected Subsidence - Cracks appeared on walls and floor,SUBSIDENCE
Accidental damage to MacBook Pro 13,ADSPECIFIED
I tripped over my dog and to avoid falling on him I fell into my back door and it seems to of come misaligned and off it’s hinge slightly. Will not close properly. I tried to force it to pull across and turn the lock but the lock won’t pull down. I am having to put an object there to ensure it won’t open. ,ADBUILDINGS
Noticed a lot of condensation in a bathroom seen there was a lot of water on the floor as well.Looks like the leak is from behind the shower managed to turn the water off but unsure what damage this has caused,ESCAPEWATER
Water Tank has over flowed causing extensive damage to four bedrooms,ESCAPEWATER
Damaged laptop screen and casing,ADSPECIFIED
Boiler Leaking and no hot water as result,BOILER
Water leakage  on ceiling of 1st floor noticed from bathroom site ,ESCAPEWATER
White gold diamond engagement ring. Solitaire stone with diamonds in the shoulders and band. Centre stone over 1 caret ,LOSSSPECIFIED
The fridge freezer has broken down,FREEZER
"When I switch my TV on it is not showing any picture but there is sound when, this started yesterday ",OTHER
Wasp Nest in Eaves of the front roof,OTHER
"I have heavy Mould that has occurred in the Bathroom,  while we used to be able to wipe down the surface mould I think it is a much bigger problem as it goes along the ceiling in the bathroom and looks like it follows the insulation in the roof. I am not sure if the insulation in the roof is the problem or maybe the guttering? I do know that the ventilation in the bathroom is really bad the extractor fan turns off when the light turns off, The back bedroom has been a problem for mould but not in the last few months",STORM
i saw water coming down the ceiling and went upstairs to check and there is a water leak under the tub.  ,ESCAPEWATER
POlytuneel form neighbouring farm took off in wind and came across our four fields damaging fencing and damaged two sheds before getting stuck on one shed to stop it.,STORM
 Liability to people and their property other than You and Your property; dispute with landlord; consumer contract dispute; ,PLPROPERTY
Dropped IPhone on tiled floor and smashed back ,ADSPECIFIED
leak from shower to kitchen ceiling underneath,ESCAPEWATER
Extractor fan in downstairs toilet and main light in bedroom directly above stopped working at the same time,WIRINGFAULT
Kitchen window will not unlock or open,ADBUILDINGS
Monday the 18th of July came home from work too a bit of rubble on the Downstairs toilet floor with a slight warp and crack in the celling no water visible. During the night around 3am there was a ridiculously loud bang and the celling has come down. I aren’t sure exactly what has caused the damage. I have taken photos which I can send thankyou for your help.,ESCAPEWATER
"1st floor ceiling is leaking, major leaks through lights, following heavy rain. Electric wiring in the roof in danger of damage. Pleasure urgently send someone",STORM
Garden shed was broken into and a Makita (DLX2336S) cordless twin pack and a DeWalt (DCD796P2) business cordless combi drill we’re stolen,BURGLARY
We heard water noise behind the fridge so we pulled it out and the connection to the filter was leaking. It’s damaged the wood floor into the kitchen ,ESCAPEWATER
A  vehicle has crashed in the garage on my property (282 castle road),IMPACT
"We had a water leak from a pipe under the bath. A plumber capped the pipe. We noticed later that day that the kitchen ceiling beneath the leak was discoloured and discovered that there was still water dripping slowly from the pipe upstairs. Before the plumber came back, part of the kitchen ceiling fell down. He states he is insured but that he does not think a slow leak would cause that much damage and there might be a leak elsewhere in the pipe but he can't access it to check without removing the bath. The water to the bath has now been isolated so we cannot use the bath now.",ESCAPEWATER
"Garage, car , motorbike, go Kart and tools etc badly damaged by fire, took hours to put out. Garage is now open and exposed, unsafe and needs to be secured as soon as possible",FIRE
we were painting/glossing front room and got gloss all over back of sofa,ADCONTENTS
Water damage from water pipe in property ,ESCAPEWATER
"Rear exterior waste drain is letting of a bad smell , I had a workman look at it says that underground pipe is cracked so waste water leaking into ground producing smell ",BLOCKEDDRAINS
